"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"Top Fixers AC Repair Dubai","4.8",,"34FJ+4JF",,"Dubai","AE","https://ks-acrepair.com/","+971 52 525 3940","Air conditioning repair service","Air compressor repair service","Air conditioning store","Air conditioning system supplier","HVAC contractor","Paint store","Paint stripping service","Painter","Painting","Paintings store",,"https://www.google.com/maps/search/?api=1&query=Top%20Fixers%20AC%20Repair%20Dubai&query_place_id=ChIJy1C8-r0NXz4RrPPpNrv-_js","Air conditioning repair service"
"Muhammad Hasnain AC Repairing Center // Washing machine Gas stove Refrigerator repair near me Dubai","4.8",,"G7 Shop, G7 Building",,"Dubai","AE","https://mhasnainrepair.com/","+971 52 245 1145","Appliance repair service","Air conditioning repair service","Air duct cleaning service","Handyman/Handywoman/Handyperson","Painting","Plumber","Refrigerator repair service","Washer & dryer repair service",,,,"https://www.google.com/maps/search/?api=1&query=Muhammad%20Hasnain%20AC%20Repairing%20Center%20%2F%2F%20Washing%20machine%20Gas%20stove%20Refrigerator%20repair%20near%20me%20Dubai&query_place_id=ChIJVd2rEsJDXz4RtDwRRX2bIM4","Appliance repair service"
"Amc Ac Maintenance","4.9",,"City Walk Building - 9 - City walk",,"Dubai","AE","https://acamcdubai.com/","+971 50 706 4831","Air conditioning repair service","Air conditioning contractor","Dryer vent cleaning service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Amc%20Ac%20Maintenance&query_place_id=ChIJCQPR2lKbjKkRzbPHhkQ-vxE","Air conditioning repair service"
"KS - AC Repair","4.8",,"F4",,"Dubai","AE","https://ks-acrepair.com/","+971 55 467 7505","Air conditioning repair service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KS%20-%20AC%20Repair&query_place_id=ChIJgy7CeE1tXz4Rw2Jt9ZHVViQ","Air conditioning repair service"
"Shahid Technical AC Repair and Maintenance Services Home Repair Dubai","4.7",,"Villa 12 - Al Bada'a Street 45",,"Dubai","AE","https://homerepairdubai.com/","+971 50 967 6115","Air conditioning repair service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shahid%20Technical%20AC%20Repair%20and%20Maintenance%20Services%20Home%20Repair%20Dubai&query_place_id=ChIJgfsahWZDXz4RklSigcNKGc0","Air conditioning repair service"
"AC Repair in Dubai","5",,,,"Dubai","AE","https://acrepairarabianranches.com/","+971 50 444 3391","Air conditioning contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AC%20Repair%20in%20Dubai&query_place_id=ChIJAb9xmF8NXz4R_ew-9gak818","Air conditioning contractor"
"Masterminds Electromechanical Works","4.9",,"First Al Khail St",,"Dubai","AE","https://mastermindshvac.com/","+971 55 413 0400","Air conditioning repair service","Air conditioning contractor","Air duct cleaning service","Electrician","HVAC contractor","Painting","Plumber","Property maintenance",,,,"https://www.google.com/maps/search/?api=1&query=Masterminds%20Electromechanical%20Works&query_place_id=ChIJ4-4pij9rXz4R-8LC0LC-rEA","Air conditioning repair service"
"AC Fixing Dubai","5",,"office 04",,"Dubai","AE","https://sites.google.com/view/quick-ac-repair/","+971 56 497 6730","Air conditioning repair service","Air compressor repair service","Air conditioning contractor","Air conditioning store","Appliance repair service","Handyman/Handywoman/Handyperson","HVAC contractor","Plumber","Property maintenance","Repair service",,"https://www.google.com/maps/search/?api=1&query=AC%20Fixing%20Dubai&query_place_id=ChIJY6CULdz7WKERwk13jvDDDiA","Air conditioning repair service"
"Breezy Tech HVAC | AC Repair in Dubai","4.9",,,,"Dubai","AE","https://breezytechhvac.com/","+971 50 950 7072","Air conditioning repair service","Air conditioning contractor","Air duct cleaning service","Electrician","Handyman/Handywoman/Handyperson","HVAC contractor","Painter","Plumber","Property maintenance",,,"https://www.google.com/maps/search/?api=1&query=Breezy%20Tech%20HVAC%20%7C%20AC%20Repair%20in%20Dubai&query_place_id=ChIJE3SEAuBrXz4ROMMOUnjfjqw","Air conditioning repair service"
"ABDS AC Repairing Services and AC Maintenance Services Home Maintenance Services","4.9",,"Al Thani Building - Unit 5 Street No 23",,"Dubai","AE","https://www.homeappliancesrepairsuae.com/","+971 52 456 4517","Air conditioning repair service","Washer & dryer repair service","Washer & dryer store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ABDS%20AC%20Repairing%20Services%20and%20AC%20Maintenance%20Services%20Home%20Maintenance%20Services&query_place_id=ChIJmd_qvldDXz4RA4yooVz7fN4","Air conditioning repair service"
